account_key,account_number,customer_id,account_type,open_date,close_date,branch_id,branch_name,zone
1826,7843107,7128,Current Account,31/01/2019,,4,London Bridge Gateway,Z1
1295,6015795,6063,Savings Account,25/02/2021,,5,Islington High Street,Z1
1159,5510841,5870,Current Account,09/01/2022,,1,Canary Wharf,Z1
2378,9694503,1943,Current Account,09/10/2023,,1,Canary Wharf,Z1
1292,6004922,7774,Current Account,23/07/2020,,3,Notting Hill Gate,Z2
812,4206518,7569,Savings Account,12/01/2023,,1,Canary Wharf,Z1
297,2401441,2208,Current Account,30/11/2023,,1,Canary Wharf,Z1
1665,7268335,7681,Savings Premium,09/03/2023,,4,London Bridge Gateway,Z1
1247,5841480,1661,Savings Account,18/02/2023,,6,Stratford City,Z2
1761,7595502,1166,Current Account,28/02/2022,,4,London Bridge Gateway,Z1
421,2801277,3967,Current Account,26/09/2023,,1,Canary Wharf,Z1
331,2499248,3048,Salary Account,11/08/2020,,4,London Bridge Gateway,Z1
604,3456752,4297,Savings Account,05/07/2019,,1,Canary Wharf,Z1
1278,5937156,2073,Current Account,06/06/2022,,6,Stratford City,Z2
1847,7914174,2996,Salary Account,06/12/2023,,1,Canary Wharf,Z1
278,2361498,6230,Savings Account,25/02/2022,,1,Canary Wharf,Z1
1623,7096044,2064,Current Account,08/05/2023,,3,Notting Hill Gate,Z2
2271,9274724,5953,Current Account,04/07/2020,,6,Stratford City,Z2
204,2083231,1842,Current Account,16/02/2023,,3,Notting Hill Gate,Z2
1145,5452353,3370,Salary Account,30/12/2018,,6,Stratford City,Z2
1581,6930587,1549,Savings Account,05/07/2020,,5,Islington High Street,Z1
1186,5663414,4070,Savings Account,29/05/2023,,3,Notting Hill Gate,Z2
287,2382409,5990,Salary Account,15/11/2018,,6,Stratford City,Z2
1358,6212431,2569,Salary Account,10/12/2023,,4,London Bridge Gateway,Z1
2221,9118323,1439,Current Account,10/03/2023,,6,Stratford City,Z2
612,3486001,5477,Current Account,16/12/2023,,1,Canary Wharf,Z1
519,3145220,2359,Savings Account,10/12/2023,,4,London Bridge Gateway,Z1
2061,8621612,4515,Savings Account,16/01/2021,,4,London Bridge Gateway,Z1
1921,8153293,7799,Current Account,16/12/2023,,2,Oxford Circus,Z1
1115,5357165,4724,Savings Account,30/06/2020,,1,Canary Wharf,Z1
1391,6300310,4559,Current Account,20/04/2023,,1,Canary Wharf,Z1
2083,8682046,7798,Current Account,27/05/2023,,6,Stratford City,Z2
1274,5917440,5803,Current Account,04/12/2022,,4,London Bridge Gateway,Z1
1184,5642572,2022,Savings Account,08/12/2022,,5,Islington High Street,Z1
107,1720253,6897,Savings Account,06/03/2023,,3,Notting Hill Gate,Z2
929,4749444,7666,Current Account,18/04/2023,,4,London Bridge Gateway,Z1
947,4819814,6122,Current Account,02/11/2023,,1,Canary Wharf,Z1
1952,8245446,3774,Savings Account,14/07/2020,,4,London Bridge Gateway,Z1
2290,9360400,2427,Savings Account,20/10/2023,,1,Canary Wharf,Z1
1136,5422288,6925,Savings Account,21/12/2023,,4,London Bridge Gateway,Z1
171,1969447,2634,Current Account,19/04/2022,,1,Canary Wharf,Z1
923,4710023,3250,Current Account,23/10/2023,,4,London Bridge Gateway,Z1
787,4106769,3329,Savings Account,03/07/2023,,1,Canary Wharf,Z1
323,2481557,6756,Current Account,20/02/2023,,2,Oxford Circus,Z1
1071,5248379,3876,Current Account,20/04/2022,,1,Canary Wharf,Z1
1624,7099564,1759,Savings Account,21/03/2022,,3,Notting Hill Gate,Z2
942,4793045,4271,Salary Account,08/03/2023,,4,London Bridge Gateway,Z1
1170,5568934,4448,Current Account,18/12/2023,,2,Oxford Circus,Z1
2387,9721836,4339,Current Account,15/08/2023,,6,Stratford City,Z2
1692,7355855,5160,Savings Account,12/10/2023,,3,Notting Hill Gate,Z2
2206,9060611,6744,Current Account,08/07/2023,,2,Oxford Circus,Z1
349,2559369,2356,Savings Account,17/08/2022,,4,London Bridge Gateway,Z1
830,4283407,1637,Current Account,30/10/2019,,1,Canary Wharf,Z1
634,3556442,1944,Current Account,05/12/2023,,1,Canary Wharf,Z1
1320,6076582,2822,Savings Account,16/08/2022,,4,London Bridge Gateway,Z1
1748,7554130,2440,Savings Account,06/12/2020,,2,Oxford Circus,Z1
1802,7711826,7539,Salary Account,19/07/2023,,4,London Bridge Gateway,Z1
607,3471558,6489,Savings Premium,01/12/2020,,1,Canary Wharf,Z1
1219,5738538,4040,Salary Account,20/09/2021,,6,Stratford City,Z2
824,4258809,2894,Current Account,19/05/2022,,4,London Bridge Gateway,Z1
1582,6935811,6391,Savings Account,19/03/2023,,4,London Bridge Gateway,Z1
1938,8205485,5232,Salary Account,17/10/2023,,4,London Bridge Gateway,Z1
282,2367961,1912,Savings Premium,24/04/2023,,6,Stratford City,Z2
940,4787884,5781,Savings Account,03/06/2023,,5,Islington High Street,Z1
1041,5153027,1420,Current Account,07/12/2021,,6,Stratford City,Z2
1386,6286978,5963,Savings Account,16/02/2021,,4,London Bridge Gateway,Z1
1487,6628823,5813,Current Account,22/05/2022,,2,Oxford Circus,Z1
1737,7511184,5371,Current Account,24/01/2023,,4,London Bridge Gateway,Z1
1953,8249636,4081,Current Account,16/08/2021,,2,Oxford Circus,Z1
954,4841988,2741,Savings Account,25/04/2023,,2,Oxford Circus,Z1
1599,7005119,2794,Savings Premium,17/03/2022,,1,Canary Wharf,Z1
2165,8935204,2624,Salary Account,30/03/2021,,2,Oxford Circus,Z1
817,4242098,7684,Savings Account,07/05/2023,,4,London Bridge Gateway,Z1
1536,6784257,3147,Savings Account,05/03/2021,,4,London Bridge Gateway,Z1
1835,7875018,7064,Current Account,26/09/2020,,6,Stratford City,Z2
548,3245863,1114,Current Account,20/11/2020,,4,London Bridge Gateway,Z1
1490,6638639,7560,Salary Account,24/08/2023,,6,Stratford City,Z2
2362,9632941,2185,Savings Account,22/07/2023,,4,London Bridge Gateway,Z1
2123,8809180,6840,Current Account,29/07/2023,,4,London Bridge Gateway,Z1
90,1668440,7018,Current Account,03/05/2022,,1,Canary Wharf,Z1
1155,5490045,2572,Savings Account,20/05/2023,,4,London Bridge Gateway,Z1
460,2931360,4013,Current Account,09/11/2023,,6,Stratford City,Z2
1810,7740696,3940,Savings Premium,09/06/2023,,2,Oxford Circus,Z1
93,1675101,2034,Savings Account,25/04/2023,,4,London Bridge Gateway,Z1
1657,7244808,5821,Current Account,21/07/2023,,1,Canary Wharf,Z1
1486,6623533,4104,Current Account,21/06/2019,,6,Stratford City,Z2
271,2323996,7558,Current Account,09/04/2023,,1,Canary Wharf,Z1
2394,9746200,6588,Savings Account,17/07/2021,,4,London Bridge Gateway,Z1
628,3542463,3984,Current Account,22/09/2020,,4,London Bridge Gateway,Z1
2130,8841831,2590,Savings Account,08/01/2021,,4,London Bridge Gateway,Z1
1185,5653434,3247,Salary Account,17/07/2023,,3,Notting Hill Gate,Z2
876,4474680,4403,Savings Account,13/03/2022,,4,London Bridge Gateway,Z1
312,2463610,3263,Savings Account,22/05/2023,,2,Oxford Circus,Z1
737,3891644,3831,Savings Account,24/05/2023,,5,Islington High Street,Z1
545,3224834,7546,Current Account,26/12/2023,,2,Oxford Circus,Z1
1765,7604711,7125,Savings Account,14/11/2021,,4,London Bridge Gateway,Z1
1281,5961585,6026,Current Account,31/12/2021,,5,Islington High Street,Z1
1428,6428422,5364,Savings Account,30/04/2023,,4,London Bridge Gateway,Z1
212,2099141,4040,Savings Account,06/04/2023,,6,Stratford City,Z2
1363,6240690,4468,Current Account,26/04/2023,,4,London Bridge Gateway,Z1
2005,8436695,1594,Savings Account,24/07/2023,,1,Canary Wharf,Z1
2426,9874432,2582,Current Account,08/10/2019,,4,London Bridge Gateway,Z1
209,2096096,3452,Current Account,27/11/2023,,2,Oxford Circus,Z1
1064,5226329,3033,Salary Account,07/06/2021,,4,London Bridge Gateway,Z1
654,3629941,7895,Current Account,12/03/2023,,2,Oxford Circus,Z1
1590,6953785,7319,Savings Account,17/07/2023,,1,Canary Wharf,Z1
536,3182678,3105,Savings Account,06/11/2021,,1,Canary Wharf,Z1
1374,6264151,7884,Savings Account,29/11/2022,,4,London Bridge Gateway,Z1
882,4500274,4495,Savings Account,18/04/2023,,6,Stratford City,Z2
2421,9845369,2590,Current Account,29/06/2023,,3,Notting Hill Gate,Z2
1699,7380471,5785,Savings Account,18/12/2022,,4,London Bridge Gateway,Z1
356,2578547,5020,Salary Account,23/04/2023,,6,Stratford City,Z2
1735,7507733,3282,Current Account,25/08/2023,,3,Notting Hill Gate,Z2
1517,6736853,4343,Savings Account,16/03/2019,,6,Stratford City,Z2
627,3541225,7799,Current Account,19/02/2022,,6,Stratford City,Z2
597,3432537,2799,Salary Account,02/12/2020,,5,Islington High Street,Z1
74,1584414,6794,Salary Account,22/12/2023,,1,Canary Wharf,Z1
1188,5671378,1149,Savings Account,29/07/2022,,6,Stratford City,Z2
1442,6477775,3882,Savings Premium,18/03/2023,,4,London Bridge Gateway,Z1
2275,9297473,6704,Savings Account,21/11/2019,,1,Canary Wharf,Z1
313,2467469,6308,Savings Account,31/10/2022,,3,Notting Hill Gate,Z2
2117,8792697,5540,Current Account,14/02/2022,,6,Stratford City,Z2
2284,9341386,3327,Savings Account,28/06/2021,,1,Canary Wharf,Z1
869,4453042,4398,Salary Account,13/01/2023,,5,Islington High Street,Z1
