customer_key,customer_id,full_name,address,gender,phone_number,email_id,birthdate,create_date
1,1003,Danny Carr,"Studio 58, Anderson trail, Karenburgh, S8J 6PR",Female,1614960249,lynne78@outlook.com,19/02/1965,02/06/2021
2,1004,Ms Dorothy Watson,"2 Mitchell ridges, East Danielburgh, TA25 7AX",Female,1315000000,trevor27@hotmail.com,04/04/1956,05/02/2020
3,1009,Kayleigh Berry,"7 Matthew spurs, South Bruceborough, W24 8GX",Male,1155000000,,22/07/1955,11/12/2023
4,1013,Eric Page-Smith,"Flat 31, Ben valleys, Jakeland, G6 9DT",Male,9099000000,,22/11/1991,13/02/2018
5,1017,Karen Hudson,"Flat 13y, Thomas cape, East Markview, CB28 8WH",Male,8082000000,oconnorduncan@leonard.com,03/03/1998,03/09/2020
6,1021,Mr Roger Rees,"Flat 4, Hall valley, Jenniferside, RM53 7RG",Male,1615000000,,05/06/1966,19/07/2021
7,1023,Gareth Foster,"07 Leonard summit, South Leon, M36 2YU",Male,292000000,frank54@williams.com,24/06/1973,05/05/2021
8,1026,Roger Gough,"189 Tracey mountains, Carolburgh, E3 3SX",Female,1615000000,sholt@yahoo.co.uk,23/07/1974,25/04/2023
9,1029,Leah Moore,"37 Johnson hill, Johnsonburgh, L31 6PW",Male,1135000000,nicole35@yahoo.com,06/01/1963,26/07/2023
12,1050,Heather Holloway,"43 Tracey spurs, East David, S2F 8DH",Male,1165000000,,13/10/1985,22/08/2021
13,1053,Dr Daniel Reed,"876 Joshua lane, West Rebecca, N57 9JE",Female,3070000000,hopediana@outlook.com,09/08/1978,11/10/2019
14,1058,Margaret Bennett,"15 Parker groves, Murphystad, WF76 6RS",Male,2890000000,maria22@hotmail.co.uk,19/10/1991,08/02/2021
16,1063,Mrs Jade Kelly,"Studio 66, Emma skyway, East Damian, CH8 4UA",Female,1135000000,stephensonjeremy@frost.com,19/10/1951,31/10/2019
17,1064,Miss Frances Mitchell,"Flat 3, Dawn well, Walkerside, IG54 2GS",Male,1135000000,joycewoods@gmail.com,29/09/1950,04/09/2019
19,1076,Mr Rhys Powell,"372 Fuller forks, West Leahview, IV4X 6BP",Female,1165000000,glenclarke@collins-wright.com,13/01/2009,31/08/2019
20,1079,Mr Rhys Woods,"02 Margaret throughway, Reesmouth, SW61 3YD",Male,1633000000,,13/09/1968,19/04/2021
21,1083,Ms Jenna Quinn,"Flat 5, Brown common, Port Connor, EX06 9ER",Male,1155000000,thomasbruce@hotmail.co.uk,26/11/1968,06/08/2018
22,1094,Hilary Stone,"5 Lorraine locks, Frystad, TQ1P 5TX",Female,1185000000,samanthawade@outlook.com,03/12/1964,30/08/2019
23,1100,Sylvia Macdonald,"Flat 39, Kyle road, Sallyport, L0 2EU",Female,1214960061,cmitchell@yahoo.com,27/11/1955,30/03/2023
24,1103,Ann Ross,"256 Gerald ferry, Beverleyfort, EH01 6HD",Female,9099000000,mohammed43@robertson-hurst.com,18/01/1963,21/09/2021
26,1114,Dr Sophie Hudson,"55 Hughes coves, New Cameronborough, RM6H 1AZ",Male,1415000000,zevans@harrison-schofield.org,04/01/1954,04/06/2020
27,1115,Ms Chelsea Kemp,"Flat 2, Nathan view, Thompsonmouth, HS7 0DG",Female,1915000000,,26/02/1983,17/03/2018
28,1120,Ms Carolyn Hill,"1 Edward creek, Dorothyville, G1J 4BZ",Male,1145000000,rogersreece@pearce-ward.com,17/12/1964,27/09/2021
29,1121,Dr Benjamin Flynn,"Flat 10, Stewart plaza, East Ianton, WV6V 2DB",Male,1185000000,dfletcher@yahoo.co.uk,25/03/1963,09/07/2021
31,1125,Ms Kerry Watts,"8 Sian river, Howarthland, M5E 4JT",Male,9099000000,hendersondorothy@outlook.com,16/05/2003,30/06/2022
32,1129,Daniel Berry,"73 Olivia junctions, New Brendaburgh, B12 1ZQ",Female,1914960852,howardmurphy@gmail.com,09/04/1968,26/07/2018
33,1141,Kimberley Fisher,"Studio 64, Wendy ways, Port Gregoryland, LD7W 3QZ",Male,289018085,probinson@hotmail.com,26/11/1986,17/09/2018
34,1149,Leigh Booth-Harrison,"Studio 63P, Miller center, Lanebury, G9 0NT",Female,8082000000,dorothy27@yahoo.com,08/05/1977,02/04/2020
35,1153,Sarah Clarke-Powell,"Studio 83, Reece well, Walshport, N27 0NU",Male,1914960745,carl87@yahoo.com,15/07/1996,13/08/2018
36,1158,Jennifer Hicks,"Studio 1, Clark passage, Morleyfort, LS5X 5QF",Female,1165000000,jake63@outlook.com,28/10/1978,17/03/2023
37,1159,Annette Brown,"591 Hart brooks, West Debraview, L1 0JD",Male,1174960419,,23/05/1970,27/07/2019
38,1160,Harry Hill,"16 Morgan gardens, West Albert, WF2Y 8FD",Female,1155000000,,26/04/2004,07/02/2019
